n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,rmse
300,0.03,3,1,0.8,0.8,22.89426660203381
300,0.03,3,1,0.8,1.0,22.86216076723163
300,0.03,3,1,1.0,0.8,23.074760541522775
300,0.03,3,1,1.0,1.0,22.86826788097462
300,0.03,3,5,0.8,0.8,22.894094258202824
300,0.03,3,5,0.8,1.0,22.830888827523047
300,0.03,3,5,1.0,0.8,23.09330708675512
300,0.03,3,5,1.0,1.0,22.858061774793466
300,0.03,3,10,0.8,0.8,22.96610604675227
300,0.03,3,10,0.8,1.0,22.8302227061533
300,0.03,3,10,1.0,0.8,23.095870039204137
300,0.03,3,10,1.0,1.0,22.880869632436312
300,0.03,5,1,0.8,0.8,22.128182390210775
300,0.03,5,1,0.8,1.0,22.169176175224827
300,0.03,5,1,1.0,0.8,22.24458152810387
300,0.03,5,1,1.0,1.0,22.2218466247321
300,0.03,5,5,0.8,0.8,22.20438362475401
300,0.03,5,5,0.8,1.0,22.108489981789372
300,0.03,5,5,1.0,0.8,22.198343376734567
300,0.03,5,5,1.0,1.0,22.185371924767377
300,0.03,5,10,0.8,0.8,22.184726076508802
300,0.03,5,10,0.8,1.0,21.998896558257233
300,0.03,5,10,1.0,0.8,22.269598041311472
300,0.03,5,10,1.0,1.0,22.278551516132993
300,0.03,7,1,0.8,0.8,21.416420012752532
300,0.03,7,1,0.8,1.0,21.62405932919235
300,0.03,7,1,1.0,0.8,21.706293242345485
300,0.03,7,1,1.0,1.0,21.6247519033878
300,0.03,7,5,0.8,0.8,21.539280055648028
300,0.03,7,5,0.8,1.0,21.536850136882066
300,0.03,7,5,1.0,0.8,21.609484561686415
300,0.03,7,5,1.0,1.0,21.609182559136123
300,0.03,7,10,0.8,0.8,21.406226042065867
300,0.03,7,10,0.8,1.0,21.22689204598439
300,0.03,7,10,1.0,0.8,21.49823424036166
300,0.03,7,10,1.0,1.0,21.40845649091123
300,0.05,3,1,0.8,0.8,22.357214184739785
300,0.05,3,1,0.8,1.0,22.535558924444718
300,0.05,3,1,1.0,0.8,22.61941236861005
300,0.05,3,1,1.0,1.0,22.662982843261336
300,0.05,3,5,0.8,0.8,22.287549452332136
300,0.05,3,5,0.8,1.0,22.53056833473736
300,0.05,3,5,1.0,0.8,22.662849219211733
300,0.05,3,5,1.0,1.0,22.642326717326608
300,0.05,3,10,0.8,0.8,22.48570580745059
300,0.05,3,10,0.8,1.0,22.60821022251597
300,0.05,3,10,1.0,0.8,22.66629625775476
300,0.05,3,10,1.0,1.0,22.649667097801746
300,0.05,5,1,0.8,0.8,21.89392412393221
300,0.05,5,1,0.8,1.0,21.77404530992858
300,0.05,5,1,1.0,0.8,22.18520814155285
300,0.05,5,1,1.0,1.0,21.86389995103874
300,0.05,5,5,0.8,0.8,22.001434065884467
300,0.05,5,5,0.8,1.0,21.93428858041841
300,0.05,5,5,1.0,0.8,22.075166179262713
300,0.05,5,5,1.0,1.0,21.90414657420295
300,0.05,5,10,0.8,0.8,22.153968550962656
300,0.05,5,10,0.8,1.0,21.82475397306382
300,0.05,5,10,1.0,0.8,22.04759776126634
300,0.05,5,10,1.0,1.0,22.021745776091826
300,0.05,7,1,0.8,0.8,21.332656867932254
300,0.05,7,1,0.8,1.0,21.56414496519389
300,0.05,7,1,1.0,0.8,21.43031961749352
300,0.05,7,1,1.0,1.0,21.496107976137168
300,0.05,7,5,0.8,0.8,21.208835673950993
