station,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,datetime
Aotizhongxin,0.0,0.0,0.0,0.0,0.0,2.63803331051791,2.0476842345425506,2.666552589550536,2.9175222450376457,5.065023956194388,4.902464065708418,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.23100616016427106,0.03992699064567648,0.0
Changping,0.0,0.0,0.0,0.0,0.0,2.2073921971252566,1.6598220396988363,1.791010723248916,1.9022359114761578,4.3377823408624225,1.7225644535706137,0.1511521788729181,0.14259639516313027,0.1511521788729181,0.14544832306639288,0.3992699064567648,0.12263289984029203,0.0
Dingling,0.0,0.0,0.0,0.0,0.0,2.22165183664157,1.8708647045402693,2.0819073693817023,3.5192790326260557,5.738078941364362,3.462240474560803,0.1511521788729181,0.14259639516313027,0.1511521788729181,0.14544832306639288,0.3992699064567648,0.12263289984029203,0.0
Dongsi,0.0,0.0,0.0,0.0,0.0,2.138945927446954,1.577116130504221,1.8908281998631076,4.565936573123432,9.11761350673055,1.8936801277663702,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.22245037645448323,0.03992699064567648,0.0
Guanyuan,0.0,0.0,0.0,0.0,0.0,1.756787588409765,1.2234770704996578,1.351813826146475,1.8794204882500571,4.9994296144193475,3.3453114305270364,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.23100616016427106,0.03992699064567648,0.0
Gucheng,0.0,0.0,0.0,0.0,0.0,1.842345425507643,1.0865845311430526,1.445927446954141,1.9050878393794206,3.99555099247091,2.0790554414784395,0.14544832306639288,0.14259639516313027,0.14544832306639288,0.12263289984029203,0.4534565366187543,0.11978097193702943,0.0
Huairou,0.0,0.0,0.0,0.0,0.0,2.717887291809263,2.2159479808350446,2.7948893451973533,4.674309833447411,4.055441478439425,3.282569016655259,0.14544832306639288,0.1511521788729181,0.1511521788729181,0.1568560346794433,0.8612822267853069,0.13974446725986767,0.0
Nongzhanguan,0.0,0.0,0.0,0.0,0.0,1.791010723248916,1.2548482774355465,1.2719598448551221,1.973534109057723,3.4394250513347027,1.4430755190508784,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.22245037645448323,0.03992699064567648,0.0
Shunyi,0.0,0.0,0.0,0.0,0.0,2.603810175678759,1.562856490987908,3.696098562628337,3.892881587953457,6.211498973305955,4.246520647958019,0.14544832306639288,0.14544832306639288,0.1540041067761807,0.14544832306639288,1.3774811772758384,0.12548482774355463,0.0
Tiantan,0.0,0.0,0.0,0.0,0.0,1.930755190508784,1.7026009582477755,3.1884553958475927,2.121834360027379,3.2112708190736936,2.4041752224503767,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.22245037645448323,0.03992699064567648,0.0
Wanliu,0.0,0.0,0.0,0.0,0.0,1.0894364590463153,0.8099475245265799,1.639858544375998,3.051562856490988,5.167693360711842,6.009012092174309,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.05703855806525211,0.35078713210130047,0.03992699064567648,0.0
Wanshouxigong,0.0,0.0,0.0,0.0,0.0,1.9849418206707734,1.380333105179101,1.907939767282683,2.1503536390600044,3.6989504905315993,3.074378279717089,0.054186630161989505,0.054186630161989505,0.054186630161989505,0.054186630161989505,0.22530230435774584,0.03707506274241387,0.0
